Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,playerid
Ian Happ,Cubs,102,441,381,92,18,2,19,57,57,52,131,3,8,3,0.242,0.335,0.445,0.781,0.33,-3.2,0.4,1.3,17919
Todd Frazier,Rangers,122,525,458,112,20,1,23,66,75,52,113,10,4,3,0.244,0.331,0.444,0.776,0.328,0.1,-1.1,1.3,785
Ji-Man Choi,Rays,110,476,406,101,21,1,18,55,60,59,114,5,3,2,0.247,0.346,0.437,0.783,0.333,-1,-0.2,1.3,5452
Starlin Castro,Nationals,122,525,491,141,26,2,17,60,72,27,91,2,3,2,0.286,0.324,0.453,0.777,0.325,-2.7,-0.8,1.3,4579
Nicky Lopez,Royals,130,560,510,136,23,4,6,60,47,39,60,4,10,5,0.267,0.323,0.364,0.687,0.298,4.5,0,1.3,19339
Ender Inciarte,Braves,113,450,404,109,19,3,8,55,41,37,66,3,14,6,0.27,0.334,0.392,0.725,0.311,2.7,1.3,1.3,4922
Jesse Winker,Reds,112,403,349,98,19,1,13,51,46,46,65,5,2,2,0.281,0.37,0.452,0.822,0.35,-2,-1.1,1.3,13590
David Dahl,Rockies,134,581,529,147,31,5,24,80,83,42,152,4,8,5,0.277,0.332,0.494,0.826,0.343,-2.6,0.3,1.3,13744
Gregory Polanco,Pirates,130,560,496,123,29,3,22,70,73,55,131,4,10,3,0.247,0.324,0.452,0.776,0.324,-0.1,0.7,1.2,12907
J.D. Davis,Mets,115,497,449,119,23,1,21,61,66,40,118,3,3,1,0.265,0.327,0.462,0.789,0.331,-4.4,-0.5,1.2,16219
Mallex Smith,Mariners,134,581,520,130,23,8,7,67,43,46,129,7,43,12,0.25,0.319,0.362,0.681,0.296,-3,4.7,1.2,13608
Reese McGuire,Blue Jays,73,288,259,62,13,1,7,31,29,21,57,2,2,1,0.24,0.301,0.382,0.682,0.291,1.1,-0.1,1.2,15674
Tommy La Stella,Angels,102,441,393,107,18,0,13,54,51,33,53,4,1,1,0.272,0.329,0.416,0.746,0.312,1.9,-0.3,1.2,12371
Austin Hedges,Padres,60,237,216,47,9,1,10,23,30,16,69,2,1,1,0.215,0.273,0.397,0.671,0.28,1.9,-0.2,1.2,12976
Johan Camargo,Braves,100,394,359,96,21,2,12,45,51,27,78,3,1,1,0.266,0.321,0.438,0.758,0.319,1.8,-0.3,1.2,14950
Scott Kingery,Phillies,144,623,572,139,31,4,19,71,69,38,167,6,17,5,0.244,0.296,0.413,0.709,0.299,2.7,2.4,1.2,17975
Lourdes Gurriel Jr.,Blue Jays,139,602,560,146,30,2,26,76,85,28,135,7,8,5,0.262,0.304,0.462,0.766,0.319,-0.3,-0.4,1.2,19238
Nomar Mazara,White Sox,120,518,471,119,22,2,23,63,73,37,119,5,3,1,0.253,0.312,0.453,0.765,0.32,-0.9,-0.4,1.2,14553
Alex Avila,Twins,55,218,179,37,7,0,8,23,24,36,76,1,1,0,0.208,0.342,0.376,0.718,0.31,2.2,-0.5,1.1,7476
Corey Dickerson,Marlins,118,511,475,129,31,3,17,58,62,28,102,3,4,2,0.273,0.315,0.46,0.775,0.321,1.1,-0.7,1.1,10762
Daniel Vogelbach,Mariners,91,392,329,78,13,0,18,49,53,58,97,2,0,0,0.236,0.352,0.444,0.796,0.339,0,-0.3,1.1,14130
Manuel Margot,Rays,86,371,338,84,16,4,9,43,38,27,73,2,13,5,0.249,0.307,0.401,0.708,0.3,4.1,1,1.1,14712
Niko Goodrum,Tigers,146,630,569,137,31,5,18,74,67,53,176,4,14,5,0.241,0.307,0.41,0.717,0.304,-5.4,1.9,1.1,12092
Manny Pina,Brewers,66,262,237,57,12,1,7,25,30,18,62,4,1,0,0.242,0.304,0.391,0.695,0.296,2.7,-0.4,1.1,2829
Howie Kendrick,Nationals,94,286,260,78,16,1,9,36,37,20,45,3,3,1,0.299,0.353,0.47,0.823,0.347,-0.7,-0.7,1.1,4229
Tucker Barnhart,Reds,89,352,308,75,16,1,8,33,38,37,71,2,1,1,0.243,0.327,0.383,0.71,0.303,4.1,-1.3,1.1,10200
Austin Barnes,Dodgers,53,211,183,42,9,1,5,24,22,23,48,4,3,1,0.228,0.324,0.364,0.688,0.298,0.4,-0.1,1.1,12158
Max Stassi,Angels,57,224,199,41,9,0,7,23,22,19,67,3,1,1,0.208,0.288,0.354,0.642,0.278,-0.5,-0.5,1.1,10059
Willie Calhoun,Rangers,130,560,507,138,27,2,26,74,79,43,84,4,2,1,0.272,0.332,0.486,0.818,0.342,-4,-0.4,1.1,17838
Avisail Garcia,Brewers,115,477,438,120,22,2,19,59,70,30,111,6,6,3,0.274,0.326,0.468,0.794,0.332,-1.2,-0.5,1.1,5760
Rougned Odor,Rangers,136,588,531,125,27,2,29,78,84,44,160,7,13,8,0.236,0.302,0.455,0.757,0.316,-2.5,0.5,1.1,12282
Nick Senzel,Reds,110,416,376,98,22,3,12,53,46,33,102,3,12,5,0.26,0.324,0.432,0.756,0.32,-0.7,0.2,1,19293
Yoenis Cespedes,Mets,79,283,254,65,12,1,15,37,43,24,70,2,2,1,0.256,0.322,0.487,0.809,0.334,0.1,0.2,1,13110
Justin Smoak,Brewers,117,464,392,93,19,0,22,57,67,65,111,4,0,0,0.237,0.349,0.457,0.806,0.342,-0.2,-1.8,1,9054
Christian Walker,Diamondbacks,125,539,479,121,26,3,24,69,75,50,141,5,5,1,0.252,0.327,0.464,0.791,0.331,0.8,0.5,1,13419
Ryan Braun,Brewers,109,469,426,115,25,2,21,61,70,34,95,4,9,3,0.269,0.328,0.482,0.809,0.337,-1,-0.6,1,3410
Robinson Chirinos,Rangers,92,365,310,70,15,1,14,43,45,39,106,11,1,1,0.227,0.332,0.419,0.751,0.323,-0.1,-1.3,1,3142
Victor Caratini,Cubs,73,256,227,60,12,1,7,29,30,23,52,3,1,0,0.265,0.337,0.42,0.757,0.323,-1,-0.1,1,14968
Ryan McMahon,Rockies,131,567,507,134,28,3,22,69,78,51,157,3,6,2,0.264,0.333,0.458,0.791,0.333,-1.5,0.4,1,15112
A.J. Pollock,Dodgers,89,345,314,80,17,2,14,45,46,23,73,5,7,2,0.255,0.314,0.452,0.766,0.321,-1.1,1,1,9256
Mauricio Dubon,Giants,118,511,477,126,23,2,12,53,48,24,78,3,12,6,0.263,0.301,0.391,0.692,0.294,2.6,-0.1,0.9,16530
Shin-Soo Choo,Rangers,146,630,537,136,27,1,21,84,60,75,156,12,11,2,0.253,0.356,0.423,0.779,0.336,-0.4,0.5,0.9,3174
Yan Gomes,Nationals,71,282,253,60,13,0,10,30,36,22,71,4,1,0,0.236,0.306,0.409,0.715,0.301,1.9,-0.3,0.9,9627
Steven Souza Jr.,Cubs,112,363,317,75,15,2,15,44,49,39,108,4,7,3,0.237,0.325,0.44,0.765,0.325,0.1,0.9,0.9,5667
Francisco Mejia,Padres,99,390,358,91,19,2,12,42,44,22,80,5,2,1,0.254,0.303,0.422,0.725,0.304,0.1,0,0.9,16403
Marwin Gonzalez,Twins,75,322,291,78,17,1,10,38,42,25,68,3,2,1,0.267,0.33,0.437,0.766,0.324,0.2,-0.3,0.9,5497
Jorge Alfaro,Marlins,113,448,413,100,17,1,14,42,49,21,149,10,3,2,0.241,0.291,0.391,0.682,0.289,-1.6,-0.9,0.9,12180
Wilmer Flores,Giants,105,355,326,91,20,0,12,39,45,21,42,4,1,1,0.279,0.327,0.448,0.775,0.327,-2.2,-1.3,0.9,5827
Maikel Franco,Royals,120,518,470,121,25,1,20,59,70,40,74,2,1,0,0.258,0.317,0.443,0.76,0.311,-2.8,-1,0.9,12179
Joey Wendle,Rays,71,308,283,73,16,2,5,33,31,16,59,5,8,2,0.257,0.307,0.385,0.692,0.295,2.1,0.6,0.9,13853
Alex Gordon,Royals,118,511,453,114,22,1,12,57,54,42,99,11,5,2,0.251,0.328,0.386,0.714,0.307,4.8,-0.6,0.9,5209
Franklin Barreto,Athletics,78,336,305,71,15,2,13,41,41,23,105,4,7,2,0.232,0.292,0.419,0.711,0.3,0,0.8,0.9,15519
Josh Reddick,Astros,86,371,337,90,15,2,11,44,43,29,52,1,4,1,0.268,0.323,0.417,0.74,0.313,0.5,0.2,0.9,3892
Austin Romine,Tigers,63,250,231,59,12,0,7,27,30,13,53,2,1,0,0.256,0.298,0.409,0.706,0.299,0.4,-0.3,0.8,5491
Oscar Mercado,Indians,136,588,532,135,28,3,13,72,60,40,117,7,24,11,0.254,0.312,0.391,0.703,0.301,1.2,0.6,0.8,16375
Eric Thames,Nationals,112,455,393,94,20,2,23,62,64,51,139,7,4,2,0.239,0.336,0.477,0.813,0.339,-2.1,0,0.8,3711
Nico Hoerner,Cubs,83,357,330,89,16,4,7,40,40,21,43,4,6,3,0.271,0.319,0.405,0.724,0.308,1.3,0,0.8,21479
Chris Taylor,Dodgers,87,278,248,62,15,2,8,34,32,25,75,3,5,2,0.251,0.324,0.424,0.748,0.317,-1,1.1,0.8,13757
Rio Ruiz,Orioles,89,385,345,84,16,2,11,41,43,35,85,1,1,1,0.243,0.312,0.396,0.708,0.302,1.5,-0.5,0.8,14103
Aaron Hicks,Yankees,39,168,144,35,7,0,7,23,23,22,38,1,2,1,0.241,0.34,0.442,0.783,0.333,0.1,0.2,0.8,5297
Isan Diaz,Marlins,130,560,497,117,22,3,16,65,63,55,142,4,7,3,0.235,0.315,0.39,0.705,0.303,-3.2,-0.2,0.8,17922
Tyler O'Neill,Cardinals,115,457,416,100,17,1,24,58,66,33,147,3,5,1,0.241,0.3,0.459,0.759,0.316,-0.5,0.9,0.8,15711
Jordan Luplow,Indians,68,294,257,63,14,1,11,38,40,31,69,3,4,2,0.247,0.334,0.443,0.777,0.329,2.1,-0.3,0.8,16424
Asdrubal Cabrera,Nationals,86,299,268,72,16,1,11,36,43,26,58,2,2,0,0.269,0.337,0.453,0.79,0.333,-1.9,-1,0.8,4962
Cameron Maybin,Tigers,104,448,394,101,21,1,10,56,43,47,103,3,14,7,0.257,0.339,0.392,0.73,0.316,-0.1,-0.1,0.8,5223
Shed Long,Mariners,121,525,474,113,21,3,15,59,52,42,138,4,9,5,0.238,0.303,0.389,0.692,0.296,-1.9,-0.1,0.8,16542
Teoscar Hernandez,Blue Jays,118,511,458,107,23,3,24,64,69,45,159,3,8,4,0.234,0.304,0.455,0.759,0.317,-0.8,-0.2,0.8,13066
Alec Bohm,Phillies,52,224,203,54,10,1,8,27,29,18,38,1,2,1,0.265,0.326,0.449,0.775,0.326,0.4,-0.1,0.8,sa3007284
Jedd Gyorko,Brewers,76,269,238,59,10,1,12,32,37,27,62,1,2,0,0.247,0.324,0.445,0.769,0.325,0.2,-0.4,0.8,10816
Enrique Hernandez,Dodgers,89,265,234,56,12,1,10,34,35,26,55,2,2,0,0.241,0.318,0.436,0.755,0.317,-0.5,0.7,0.8,10472
Derek Fisher,Blue Jays,84,364,319,73,14,2,15,46,43,39,115,3,9,3,0.228,0.315,0.427,0.743,0.315,0.9,0.4,0.8,16192
Dexter Fowler,Cardinals,126,546,466,109,23,3,16,66,60,67,132,6,8,4,0.235,0.336,0.399,0.736,0.317,-3.2,0.2,0.7,4062
Michael Chavis,Red Sox,113,490,444,109,22,1,23,60,70,36,145,5,3,1,0.246,0.308,0.456,0.765,0.32,-3.2,-0.2,0.7,17321
Anthony Santander,Orioles,136,588,546,140,30,2,22,67,76,31,120,5,5,3,0.257,0.3,0.44,0.74,0.31,0.3,-0.2,0.7,14551
Matt Joyce,Marlins,94,286,241,58,12,0,9,35,29,41,60,1,1,1,0.24,0.35,0.408,0.758,0.327,-1,-0.4,0.7,3353
Danny Santana,Rangers,126,546,507,131,27,5,21,72,71,28,149,5,19,8,0.258,0.301,0.456,0.757,0.315,-3.3,1.3,0.7,10322
Dylan Carlson,Cardinals,68,294,262,65,13,3,9,35,34,26,66,3,7,3,0.249,0.321,0.425,0.745,0.315,-0.8,-0.1,0.7,sa917940
Jarrod Dyson,Pirates,86,371,328,78,12,3,5,45,27,34,63,4,22,5,0.238,0.315,0.337,0.653,0.286,3.7,2.8,0.7,4866
Austin Riley,Braves,58,252,230,58,12,1,14,33,40,17,73,3,1,1,0.251,0.308,0.486,0.794,0.328,-1.3,-0.2,0.7,18360
Omar Narvaez,Brewers,91,358,314,83,13,0,13,40,41,38,65,3,0,1,0.265,0.347,0.428,0.775,0.331,-5.3,-0.7,0.7,13338
Jo Adell,Angels,63,273,251,64,14,1,9,31,32,17,75,3,5,1,0.257,0.31,0.429,0.738,0.312,1.6,0.4,0.7,sa3004837
Jesus Aguilar,Marlins,97,420,368,90,17,0,18,49,59,43,100,4,0,0,0.245,0.325,0.436,0.761,0.322,1,-0.7,0.7,11342
Addison Russell,,39,168,149,37,7,1,5,19,20,15,38,2,1,0,0.247,0.32,0.407,0.727,0.309,2.3,0.2,0.7,14106
