RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
180,Spencer Howard,PHI,NL, RHP,Pitcher,23.8,Shoulder stiffness in April limited Howard to 71 IP; but he dominated in those innings with a pitching line of 2.03/0.83/94/16. Mid 90s heat and three potentially above average secondaries gives Howard legitimate top of the rotation potential.,AUG,,,,,,,,3,4.01,1.31,55,0,51,,,,,,,,14,3.58,1.2,192,0,175
181,Dustin May,LAD,NL, RHP,Pitcher,22.7,Strong MLB debut with a pitching line of 3.63/1.10/32/5 in 34.2 IP. Has plus control over a nasty 96.2 MPH sinker and 90.9 MPH cutter; while also mixing in a curve and change.,JUNE,,,,,,,,7,3.91,1.24,86,0,93,,,,,,,,15,3.61,1.18,186,0,191
182,Kyle Hendricks,CHC,NL, RHP,Pitcher,30.4,Plus command continues to induce weak contact which allows him to outperform his FIP.,,,,,,,,,13,3.56,1.17,163,0,187,,,,,,,,,,,,,
183,Edwin Diaz,NYM,NL, CL,Reliever,26,Relievers are volatile. Relievers are volatile. Relievers are volatile. Did I mention relievers are volatile?,,,,,,,,,3,3.13,1.09,109,34,65,,,,,,,,,,,,,
184,Sixto Sanchez,MIA,NL, RHP,Pitcher,21.8,Dominates with a fastball that can hit 100+ MPH to go along with 2 plus secondaries (changeup; slider) and plus control. 8.48 K/9 isnt very impressive; but has the elite stuff to produce more Ks down the line.,AUG,,,,,,,,3,3.72,1.23,51,0,56,,,,,,,,14,3.63,1.13,181,0,179
185,Rougned Odor,TEX,AL, 2B,Batter,26.2,Career worst 30.6% K% makes it harder to buy in than ever; but the plus power/speed combo and relative youth demands just a little more patience.,,80,31,83,0.243,0.318,0.462,13,,,,,,,,,,,,,,,,,,,
186,Michael Chavis,BOS,AL, 1B/2B,Batter,24.8,Showed off big time power in his MLB debut with 18 homers in 95 games; but also showed his risk with a 33.2% K%.,,77,28,89,0.259,0.328,0.47,5,,,,,,,,,,,,,,,,,,,
187,Danny Santana,TEX,AL, OF/1B,Batter,29.5,Power breakout is for real with a 91.4 MPH exit velocity and 94.7 MPH FB/LD exit velocity; but the .283 BA it came with is a mirage with a 29.5% K% and 4.9% BB%,,81,24,79,0.253,0.298,0.472,15,,,,,,,,,,,,,,,,,,,
188,Ryan McMahon,COL,NL, 2B/3B,Batter,25.4,Something will have to give with a 29.7% K% and 27.9% FB%; but he has Coors at his back and he hits the ball very hard.,,68,23,76,0.257,0.335,0.473,4,,,,,,,,,,,,,,,,,,,
189,Robbie Ray,ARI,NL, LHP,Pitcher,28.6,Fastball velocity dropped 2.4 MPH to 92.7 MPH while continuing to be a strikeout (12.13 K/9) and walk (4.34 BB/9) machine.,,,,,,,,,12,4.02,1.35,230,0,171,,,,,,,,,,,,,
190,Joc Pederson,LAD,NL, OF/1B,Batter,27.11,.572 career OPS vs. lefties likely keeps him in a strong side of a platoon role even if the Dodgers do end up dealing him.,,81,31,76,0.25,0.341,0.52,2,,,,,,,,,,,,,,,,,,,
191,Carlos Martinez,STL,NL, RHP,Pitcher,28.6,Role is up in the air. With the plus stuff still there; all he needs is his shoulder to cooperate.,,,,,,,,,8,3.84,1.29,138,0,141,,,,,,,,,,,,,
192,Garrett Hampson,COL,NL, 2B/OF,Batter,25.6,Very low exit velocity (83.2 MPH) is a major concern and it isnt mitigated by a good K% (26.9%). Hes one of the fastest players in the game and has Coors behind him; so even modest improvements in both categories can make him a valuable 5√ó5 asset.,,65,10,42,0.268,0.327,0.408,21,,,,,,,85,16,63,0.276,0.339,0.421,28,,,,,,
193,Nate Lowe,TB,AL, 1B,Batter,24.9,Will have to scratch and claw for playing time; but there is no doubt he will hit for power if he gets it.,,53,19,57,0.256,0.33,0.471,1,,,,,,,82,28,89,0.269,0.357,0.492,1,,,,,,
194,Cristian Pache,ATL,NL, OF,Batter,21.5,Power and patience took a step forward; but the mainstream list prospect hype is still centered around his double plus center field defense.,SEPT,8,1,5,0.251,0.295,0.394,2,,,,,,,86,21,79,0.273,0.338,0.455,17,,,,,,
195,Taylor Trammell,SD,NL, OF,Batter,22.6,Down year at Double-A but remains a great athlete and 20/20 threat if he can make the proper adjustments to unlock more power.,2021,,,,,,,,,,,,,,86,21,77,0.266,0.344,0.451,21,,,,,,
196,Corbin Carroll,ARI,NL, OF,Batter,19.7,Drafted 16th overall; Carroll has double plus speed with a strong plate approach and sneaky pop; posting a 91 MPH average exit velocity in his pro debut.,2023,,,,,,,,,,,,,,92,18,76,0.276,0.344,0.455,29,,,,,,
197,Aaron Bracho,CLE,AL, SS,Batter,18.11,Bracho is one of those players I was talking about in the Wander blurb (along with Noelvi Marte; Orelvis Martinez; Luis Matos; and Liover Peguero to name a few). He signed for $1.5 million in 2017 and then missed all of 2018 with a broken arm which kept the hype in check. He had his coming out party in 2019 in stateside rookie ball; showing a great feel to hit (15.3% K%); an advanced plate approach (16.8% BB%) and plus power (6 homers and a 51.8% FB% in 30 games). Limited defensive value will keep his ranking on real life lists down.,2023,,,,,,,,,,,,,,86,28,92,0.278,0.354,0.487,9,,,,,,
198,Noelvi Marte,SEA,AL, SS,Batter,18.6,Signed for $1.5 million in 2018; Marte showed off his plus power/speed combo in the Dominican League; slashing .309/371/.511 with 9 homers; 17 steals and a 55/29 K/BB in 65 games. Now is the last chance to buy before he comes stateside and the price skyrockets.,2023,,,,,,,,,,,,,,86,25,86,0.272,0.341,0.478,18,,,,,,
199,Nelson Cruz,MIN,NL, UTIL,Batter,39.9,Stikeout rate took a step back (25.1% K%); but nothing else in his profile indicates the end is near; especially the eye popping exit velocities hes putting up in his late 30s (93.7 MPH avg and 99.2 MPH FB/LD).,,83,36,101,0.272,0.351,0.545,1,,,,,,,,,,,,,,,,,,,
200,Justin Turner,LAD,NL, 3B,Batter,35.4,Hitting the ball as hard as ever but strikeout rate jumped to 16% after sitting at 12.7% in 2018 and 10.7% in 2019.,,83,27,77,0.286,0.369,0.501,2,,,,,,,,,,,,,,,,,,,
201,Carlos Santana,CLE,AL, 1B,Batter,34,Raised exit velocity on groundballs 4.4 MPH en route to a career high .281 batting average.,,91,27,88,0.268,0.38,0.486,3,,,,,,,,,,,,,,,,,,,
202,Brendan McKay,TB,AL, LHP,Pitcher,24.4,Plus command of a 4 pitch arsenal; but none of his pitches are dominant; which led to MLB hitters teeing off in his 49.2 IP debut with a 90.5 MPH exit velocity against; 93.4 MPH FB/LD; and 16.7 degree launch angle.,JUNE,,,,,,,,7,4.13,1.28,108,0,104,,,,,,,,14,3.68,1.17,189,0,183
203,Ian Anderson,ATL,NL, RHP,Pitcher,21.11,Crushed Double-A with a 2.68 ERA and 147/47 K/BB in 111 IP before struggling at Triple-A over 24.2 IP. Potential for 3 plus pitches but will have to improve command and/or add MPH to the fastball to become a top of the rotation starter.,AUG,,,,,,,,2,4.21,1.34,33,0,30,,,,,,,,14,3.6,1.26,210,0,190
204,Eduardo Escobar,ARI,NL, 2B/3B,Batter,31.3,Huge season with 35 homers and 118 RBI but mediocre exit velocity numbers (91.1 MPH FB/LD exit velocity) keeps me hesitant from completely buying in.,,77,27,89,0.27,0.326,0.489,4,,,,,,,,,,,,,,,,,,,
205,Hunter Dozier,KC,AL, 3B/OF,Batter,28.7,It took a minute; but the former 8th overall pick in 2013 finally broke out; slashing .279/.348/.522 with 26 homers and a 148/55 K/BB in 139 games. Underlying power numbers back up the breakout.,,79,27,86,0.261,0.334,0.492,4,,,,,,,,,,,,,,,,,,,
206,Didi Gregorius,PHI,NL, SS,Batter,30.3,Career high 88.2 MPH exit velocity tells me it isnt time to jump off the Didi bandwagon. Good buy low opportunity right now.,,80,26,88,0.273,0.33,0.475,6,,,,,,,,,,,,,,,,,,,
207,Edwin Encarnacion,CHW,AL, 1B,Batter,37.3,No signs of slowing down.,,82,35,91,0.25,0.341,0.505,0,,,,,,,,,,,,,,,,,,,
208,Dylan Cease,CHW,AL, RHP,Pitcher,24.3,Throws 96.6 MPH heat with 3 secondaries (slider; curveball; changeup). Slider and changeup were both positive value pitches in the majors and his curveball graded out as his best secondary as a prospect. Control/command will have to take a step forward to reach his considerable ceiling.,,,,,,,,,9,4.12,1.34,173,0,161,,,,,,,,13,3.78,1.27,194,0,179
209,Gregory Polanco,PIT,NL, OF,Batter,28.6,Never got fully healthy coming off 2018 shoulder surgery and needed PRP injections in September; but he is expected to be ready to roll for Spring. Strikeout rate and sprint speed both took a hit; but considering the circumstances Im not reading too much into it.,,73,21,80,0.252,0.32,0.456,9,,,,,,,,,,,,,,,,,,,
210,Yandy Diaz,TB,AL, 1B/3B,Batter,28.8,Power broke out by raising FB% 8.7% to 32% and FB/LD exit velocity 3.4 MPH to 97 MPH. Fractured left foot limited him to 79 games.,,83,23,72,0.273,0.35,0.466,3,,,,,,,,,,,,,,,,,,,
211,Elvis Andrus,TEX,AL, SS,Batter,31.7,Sprint speed in a 4 year decline and is now slightly below average; but he still stole 31 bases; showing base stealing isnt only about pure speed.,,79,13,71,0.271,0.321,0.391,24,,,,,,,,,,,,,,,,,,,
212,Trent Grisham,SD,NL, OF,Batter,23.5,Power exploded at Double-A and Triple-A; although MLB exit velocity numbers were below average (91 MPH FB/LD exit velocity). Trade to San Diego opens up playing time.,,71,20,68,0.255,0.348,0.442,9,,,,,,,,,,,,,,,,,,,
213,A.J. Pollock,LAD,NL, OF,Batter,32.4,Typical Pollock year. Injury shortened season (infected elbow-out 2.5 months) but looked good in the games he did play in.,,78,23,74,0.262,0.321,0.47,10,,,,,,,,,,,,,,,,,,,
214,Jordan Groshans,TOR,AL, SS,Batter,20.5,In the midst of a great full-season debut (.337/.427/.482 in 23 games) when a left foot injury shut him down for the season. Excellent all around hitter with plus raw power and average speed.,2022,,,,,,,,,,,,,,86,26,90,0.278,0.355,0.485,8,,,,,,
215,Orelvis Martinez,TOR,AL, SS,Batter,18.7,Lived up to his $3.5 million price tag; jumping straight to stateside ball (Gulf) and slashed .275/.352/.549 with 7 homers and a 29/14 K/BB in 40 games. Potential for plus hit and plus power.,2023,,,,,,,,,,,,,,83,30,95,0.276,0.343,0.518,4,,,,,,
216,Alek Thomas,ARI,NL, OF,Batter,19.11,Advanced beyond his years plate approach with plus speed and an excellent 90 MPH average exit velocity.,2022,,,,,,,,,,,,,,89,20,74,0.279,0.358,0.45,21,,,,,,
217, Hyun-jin Ryu,TOR,AL, LHP,Pitcher,33,Soft tossing lefty who dominates with plus command and one of the best changeups in baseball. Value takes a hit with his move to Toronto and the AL East.,,,,,,,,,12,3.52,1.19,143,0,161,,,,,,,,,,,,,
218,Marcus Stroman,NYM,NL, RHP,Pitcher,28.11,Move out of the AL East can only help and Ks should tick up getting to face the pitcher 2-3 times per game.,,,,,,,,,11,3.76,1.28,174,0,191,,,,,,,,,,,,,
219,Sean Manaea,OAK,AL, LHP,Pitcher,28.2,Returned in September from torn labrum surgery. Fastball was down 1.2 MPH to 90 MPH but the results were strong with a 1.21 ERA and 30 strikeouts in 29.2 IP.,,,,,,,,,12,3.73,1.19,146,0,163,,,,,,,,,,,,,
220,Kirby Yates,SD,NL, CL,Reliever,33,Velocity declined on fastball and splitter; but it didnt impact his performance at all; in fact; he improved.,,,,,,,,,4,2.76,0.96,92,36,60,,,,,,,,,,,,,
221,Kenta Maeda,MIN,NL, RHP,Pitcher,32,Trade to Minnesota ensures Maedas status as a season long starter.,,,,,,,,,11,3.88,1.19,175,0,160,,,,,,,,,,,,,
222,Aroldis Chapman,NYY,AL, CL,Reliever,32.1,Velocity declined for the 3rd year in a row to a now career low 98.2 MPH. Its still so fast I almost feel silly bringing it up.,,,,,,,,,3,2.93,1.11,81,34,56,,,,,,,,,,,,,
223,Liam Hendriks,OAK,AL, CL,Reliever,31.2,Slider and curve put up a .149 xwOBA and .059 xwOBA; respectively. Its almost too easy to point toBlake Treinenand stay away from Hendricks; but Hendricks is his own man.,,,,,,,,,3,3.06,1.09,93,37,68,,,,,,,,,,,,,
224,Mitch Garver,MIN,NL, C,Batter,29.2,Exit velocity exploded with a 3.9 MPH jump on FB/LD to an elite 97.2 MPH; which led to a ridiculous 31 homers in 93 games.,,63,25,66,0.26,0.343,0.481,0,,,,,,,,,,,,,,,,,,,
225,Nomar Mazara,CHW,AL, OF,Batter,24.11,Patience is starting to wear thin on the Mazara breakout; but he still has youth and plus power on his side.,,73,25,87,0.273,0.328,0.48,3,,,,,,,,,,,,,,,,,,,
226,Mark Canha,OAK,AL, OF,Batter,30.1,Breakout season; slashing .273/.396/.517 with 26 homers and a 107/67 K/BB in 126 games. Was receiving everyday at-bats in the 2nd half of the season and is slated for a full time job for the first time in his career. There is nothing in the underlying numbers or looking back at his entire pro career that says it was a fluke. Im buying in; especially at his current cheap price.,,86,28,79,0.264,0.359,0.498,5,,,,,,,,,,,,,,,,,,,
227,Brandon Nimmo,NYM,NL, OF,Batter,27,Limited to 69 games with a bulging disc in his back after colliding into the outfield wall on April 14th; but he looked completely healthy when he returned in September; slashing .261/.430/.565 with 5 homers and a 23/20 K/BB in 26 games. Overall numbers were dragged down by trying to play through the injury originally and hitting .171 in those 26 games.,,82,19,61,0.26,0.386,0.451,8,,,,,,,,,,,,,,,,,,,
228,Nick Madrigal,CHW,AL, 2B,Batter,23.1,Incredible 16/44 K/BB in 120 games spread across 3 levels of the minors (A+; AA; AAA); but his power upside is nonexistent.,MAY,69,5,41,0.278,0.329,0.39,19,,,,,,,91,10,56,0.292,0.343,0.409,27,,,,,,
229,Xavier Edwards,TB,AL, 2B,Batter,20.8,Elite contact numbers translated to full-season ball with a 10.2% K% at Full-A and a 8.8% K% at High-A; as did his speed with 34 stolen bases in 123 games.,2022,,,,,,,,,,,,,,92,10,48,0.289,0.342,0.405,34,,,,,,
230,Will Smith,LAD,NL, C,Batter,25,53.7% FB% will lead to lots of homers; but combined with a 26.5% K% will make him a batting average risk.,,62,24,69,0.238,0.315,0.471,3,,,,,,,,,,,,,,,,,,,
231,Miguel Andujar,NYY,AL, 3B,Batter,25.1,Underwent shoulder surgery in May and lost his starting 3B job toGio Urshela. Playing time could be dependent on how quick he takes to 1B and corner outfield.,,71,22,80,0.278,0.321,0.476,1,,,,,,,,,,,,,,,,,,,
232,Jesse Winker,CIN,NL, OF,Batter,26.7,Back injury ended his season in mid-August. Better real life hitter than fantasy and struggles vs. lefties. Power should tick up over the next couple seasons.,,73,19,69,0.283,0.372,0.481,1,,,,,,,,,,,,,,,,,,,
233,Luis Urias,MIL,NL, 2B/SS,Batter,22.1,Lowered ground ball rate to a career low 37.9% (from 49.1%) leading to 19 homers in 73 games in the extreme hitters environment of the PCL. Struggled in 249 MLB at-bats; but he has been pushed so aggressively in his career; I wouldnt hold it against him too much.Update:Out 6-8 weeks with a fractured hamate bone; putting his readiness for opening day in doubt.,,76,18,69,0.262,0.334,0.427,5,,,,,,,86,23,78,0.278,0.351,0.465,7,,,,,,
234,Jake Odorizzi,MIN,NL,RHP,Pitcher,30,Velocity ticked up on all of his pitches (+1.7 MPH to 93 MPH on fastball) giving reason to buy into his career high 10.08 K/9.,,,,,,,,,12,3.75,1.23,176,0,168,,,,,,,,,,,,,
235,Andrew Heaney,LAA,AL, LHP,Pitcher,28.1,Elbow and shoulder inflammation limited him to 95.1 IP. K/9 jumped to a career high 11.14 which gives him some fantasy friendly upside even if he never exceeds his current mid-rotation profile.,,,,,,,,,10,3.93,1.27,179,0,171,,,,,,,,,,,,,
236,Taylor Rogers,MIN,NL, CL,Reliever,29.4,Took over the closer role for good in June and ran with it; posting 30 saves with a 2.61 ERA and 90/11 K/BB in 69 IP. Velocity on his sinker increased 1.3 MPH to 95 MPH.,,,,,,,,,3,2.88,1.03,85,33,67,,,,,,,,,,,,,
237,Ken Giles,TOR,AL, CL,Reliever,29.6,Dont call it a bounceback. His 2018 was probably more unlucky than bad.,,,,,,,,,3,3.25,1.13,89,32,60,,,,,,,,,,,,,
238,Jean Segura,PHI,NL, SS,Batter,30,Attempted only 12 steals and is now entering his 30s. Its not ideal.,,86,13,65,0.286,0.331,0.426,15,,,,,,,,,,,,,,,,,,,
239,Caleb Smith,MIA,NL, LHP,Pitcher,27.8,Velocity declined in the 2nd half after coming back from a hip injury and so did his effectiveness; posting a 3.50 ERA and 1.01 WHIP in the first half vs. a 5.42 ERA and 1.41 WHIP in the 2nd.,,,,,,,,,9,4.12,1.24,178,0,162,,,,,,,,,,,,,
240,Brian Anderson,MIA,NL, 3B/OF,Batter,26.1,Increased FB% 6.8% to 35.3% while maintaining plus exit velocity readings. It led to a power breakout with 20 homers in 126 games.,,79,25,81,0.265,0.348,0.472,4,,,,,,,,,,,,,,,,,,,
241,Joe Musgrove,PIT,NL, RHP,Pitcher,27.4,Doesnt have overpowering stuff but throws 5 pitches with plus control.,,,,,,,,,12,3.93,1.22,165,0,175,,,,,,,,,,,,,
242,Kevin Newman,PIT,NL, SS,Batter,26.8,Elite contact rates (11.7%) and the opposite of elite exit velocity (84.7 MPH).,,81,13,63,0.29,0.337,0.426,19,,,,,,,,,,,,,,,,,,,
243,Renato Nunez,BAL,AL, 1B,Batter,26,Playing time is the main concern; not only this year but in the future; because he is a very bad defensive player. The power isnt a question.,,74,32,88,0.254,0.326,0.475,1,,,,,,,,,,,,,,,,,,,
244,Willy Adames,TB,AL, SS,Batter,24.7,Incremental improvements in strikeouts; exit velocity; and launch angle; although it didnt show up in his surface stats. Im expecting that to change in 2020.,,79,23,67,0.266,0.332,0.438,7,,,,,,,,,,,,,,,,,,,
245,Hunter Renfroe,TB,AL, OF,Batter,28.2,Fell apart in the 2nd half; hitting .161 with 6 homers in 205 PA (.921 OPS in 266 1st half PA). Made an effort to be more patient with a career high 9.3% BB%; but any gains he made there were negated by a career worst 31.2% K%.,,68,31,83,0.241,0.309,0.493,4,,,,,,,,,,,,,,,,,,,
246,Tyler ONeill,STL,NL, OF,Batter,24.9,St. Louis OF jobs are a bit up for grabs as of right now and my bet is that ONeill will get his shot to replaceMarcell Ozunaòs power early in the season. Bringing down his 35.1% K% will be the key to winning that job for good.,,68,26,77,0.247,0.318,0.461,3,,,,,,,,,,,,,,,,,,,
247,Isan Diaz,MIA,NL, 2B,Batter,23.1,Poor pro debut (.173 BA) but with even modest improvements in strength and K% it isnt hard to see a plus power hitter with patience. Below average sprint speed does not lend much hope to significant stolen base contributions.,,67,23,75,0.243,0.321,0.438,6,,,,,,,79,27,89,0.259,0.341,0.474,7,,,,,,
248,Adrian Houser,MIL,NL, RHP,Pitcher,27.2,Groundball pitcher (4.4 degree launch angle) with a 94.5 MPH sinker and the ability to miss bats (9.46 K/9).,,,,,,,,,10,3.86,1.27,136,0,140,,,,,,,,,,,,,
249,Avisail Garcia,MIL,NL, OF,Batter,28.1,Raw talent has always been great but was never able to improve plate approach or launch angle enough to really capitalize on it. He did have a career low 46% GB% in 2019; so dont give up quite yet on a power breakout; especially with his move to hitter friendly Milwaukee.,,72,25,82,0.274,0.329,0.473,8,,,,,,,,,,,,,,,,,,,
250,JJ Bleday,MIA,NL, OF,Batter,22.5,Power broke out with 26 homers in 65 games at Vanderbilt. Then went straight to High-A and displayed a good feel to hit (19.2% K%) and ability to lift the ball (34.9% GB%) despite the mediocre overall numbers (.690 OPS).,2021,,,,,,,,,,,,,,79,27,88,0.274,0.341,0.484,5,,,,,,
251,Heliot Ramos,SF,NL, OF,Batter,20.7,Continues to be pushed aggressively through the minors; and he responded this year with a 143 wRC+ at High-A and 119 wRC+ in 25 games at Double-A. Big time power will be his calling card.,2021,,,,,,,,,,,,,,83,28,86,0.264,0.341,0.482,10,,,,,,
252,Nolan Gorman,STL,NL, 3B,Batter,19.11,Mediocre numbers at Full-A and High-A; but the power; patience and strikeout profile remains unchanged.,2022,,,,,,,,,,,,,,83,33,92,0.253,0.336,0.508,2,,,,,,
253,Triston Casas,BOS,AL, 1B,Batter,20.3,Reasonable 23.5% K% in full season debut to go along with 19 homers. At 64ù; 238 pounds the power was never in question; so the relative contact ability is very encouraging.,2022,,,,,,,,,,,,,,79,31,88,0.268,0.347,0.503,3,,,,,,
254,Bryan Reynolds,PIT,NL, OF,Batter,25.2,Great rookie season; slashing .314/.377/.503; but doesnt have the most fantasy friendly skillset with only 16 homers and 3 steals in 134 games.,,87,20,72,0.277,0.34,0.459,5,,,,,,,,,,,,,,,,,,,
255,Evan White,SEA,AL, 1B,Batter,24.1,Carried over the power gains he made towards the end of 2018 into 2019 with 18 homers and a career low 42.4% GB% in 92 games at Double-A. Is a sure bet to spend most; if not all of 2020 in the majors with a newly signed 6 year; $24 million contract.,,78,22,73,0.264,0.325,0.45,5,,,,,,,81,27,86,0.276,0.338,0.473,6,,,,,,
256,Tarik Skubal,DET,AL, LHP,Pitcher,23.4,Scout the stat line ace with a pitching line of 2.42/1.01/179/37 in 122.2 IP split between High-A and Double-A; Stuff profiles more as a high end mid-rotation starter; but its hard to argue with those results.,2021,,,,,,,,,,,,,,,,,,,,,13,3.71,1.23,195,0,181
257,Nick Anderson,TB,AL, CL,Reliever,29.9,Stepped into the majors and was immediately one of the best relievers in baseball with a 96.3 MPH fastball and plus breaking ball. It doesnt come with any history of control problems either. Emilio Pagan trade makes Anderson the favorite for saves; but Tampa is a known wild card when it comes to their bullpen.,,,,,,,,,6,2.83,0.97,102,23,68,,,,,,,,,,,,,
258,Wil Myers,SD,NL, OF,Batter,29.4,Strikeout rate ballooned to 34.3%; and while his average was much better in the 2nd half than the 1st (.217 vs. .271); the K% was high all season. Hes going to have to fight for playing time with Pham and Grisham in town.,,76,22,71,0.244,0.319,0.438,14,,,,,,,,,,,,,,,,,,,
259,Jon Gray,COL,NL, RHP,Pitcher,28.5,Actually performed better at home (3.46 ERA and 1.29 WHIP) than on the road (4.22 ERA and 1.42 WHIP).,,,,,,,,,12,3.94,1.31,171,0,165,,,,,,,,,,,,,
260,Joey Lucchesi,SD,NL, LHP,Pitcher,26.1,Velocity declined in the 2nd half leading to a 4.52 ERA and 1.37 WHIP (3.94 ERA and 1.11 WHIP pre break).,,,,,,,,,9,4,1.24,166,0,170,,,,,,,,,,,,,
261,Mike Minor,TEX,AL,LHP,Pitcher,32.2,Velocity declined as the season wore on; as did his effectiveness; posting a 2.54 ERA in the first half and 4.93 ERA in the 2nd.,,,,,,,,,12,3.89,1.26,173,0,185,,,,,,,,,,,,,
262,Aristides Aquino,CIN,NL, OF,Batter,25.11,Free swinging slugger with speed. Exploded out of the gate in MLB debut with a .320 BA and 14 homers in August before bottoming out in September with a .196 BA and 5 homers.,,64,25,78,0.247,0.308,0.496,8,,,,,,,,,,,,,,,,,,,
263,Griffin Canning,LAA,AL, RHP,Pitcher,23.11,Solid MLB debut showing off an above average 4 pitch mix with strikeout ability (9.56 K/9) and below average exit velocity against (87 MPH).Update:Will likely begin the season on the IL after experiencing elbow discomfort.,,,,,,,,,8,4.16,1.27,142,0,140,,,,,,,,13,3.68,1.22,189,0,178
264,Brailyn Marquez,CHC,NL, LHP,Pitcher,21.2,Big lefty at 64ù; 185 pounds; Marquez throws an upper 90s fastball with a potentially plus slider and developing changeup. Still needs to improve control/command; but this is the type of high upside arm I love taking a chance on.,2021,,,,,,,,,,,,,,,,,,,,,14,3.55,1.23,187,0,174
265,Jazz Chisholm,MIA,NL, SS,Batter,22.3,Career high 11.4% BB% at Double-A while continuing to hit the ball in the air with plus speed. Upside is high; but 32.1% K% gives him a very low batting average floor.,2021,,,,,,,,,,,,,,83,28,81,0.244,0.328,0.462,15,,,,,,
266,Riley Greene,DET,AL, OF,Batter,19.6,Drafted 5th overall; the only blemish on Greenes otherwise great pro debut is that his strikeout rate was a little on the high side at 25%.,2022,,,,,,,,,,,,,,84,25,89,0.28,0.352,0.475,9,,,,,,
267,George Valera,CLE,AL, OF,Batter,19.5,Hit tool was not as good as expected (27.7% K% at Short-A) but the power showed out with 8 homers in 46 games; and the sweet lefty swing still impressed.,2022,,,,,,,,,,,,,,84,26,88,0.276,0.36,0.478,9,,,,,,
268,Nolan Jones,CLE,AL, 3B,Batter,21.11,Lefty slugger with legitimate strikeout issues (31 Ks and 4 homers in 15 games at the Arizona Fall League) but some of that is due to his passive plate approach and sky high walk rates.,2021,,,,,,,,,,,,,,85,29,85,0.251,0.369,0.478,2,,,,,,
269,Josh Lowe,TB,AL, OF,Batter,22.2,Power broke out at Double-A with 18 homers in 121 games to go along with 30 steals and a 132/59 K/BB. The hit tool still needs improvement; but Lowes stock took a huge jump last season.,2021,,,,,,,,,,,,,,82,25,80,0.25,0.332,0.468,19,,,,,,
270,Trevor Larnach,MIN,NL, OF,Batter,23.1,Game power didnt show up as hoped (13 homers in 127 games split between High-A and Double-A) with high ground ball rates; although he improved at the end of the season with 6 homers in final 28 games.,2021,,,,,,,,,,,,,,77,27,87,0.265,0.34,0.47,5,,,,,,
271,Joey Bart,SF,NL, C,Batter,23.3,Power hitting catcher whose home ballpark suppresses power; although San Francisco is moving the fences in this year. Suffered two broken hands from being hit by pitches; once in April and then again in October in the AFL.,AUG,15,7,22,0.247,0.302,0.436,1,,,,,,,69,25,81,0.262,0.33,0.467,3,,,,,,
272,Yuli Gurriel,HOU,AL, 1B/3B,Batter,35.1,Raised launch angle 3 degrees and increased FB/LD exit velocity 1.7 MPH while maintaining elite 10.6% K%.,,79,24,89,0.292,0.33,0.487,4,,,,,,,,,,,,,,,,,,,
273,Khris Davis,OAK,AL, Util,Batter,32.3,Exit velocity declined 2.4 MPH to a still very good 90.1 MPH due to a variety of injuries; most notably a hand injury. Im buying a bounce back; but considering his age; Im not buying in that hard.,,82,32,91,0.239,0.31,0.487,1,,,,,,,,,,,,,,,,,,,
274,Justin Upton,LAA,AL, OF,Batter,32.7,Banged up all year with toe and knee injuries and it negatively impacted basically every facet of his game (exit velocity; speed; batting average). Even with full health; power is the only thing I would count on from here on out.,,76,31,82,0.243,0.33,0.451,3,,,,,,,,,,,,,,,,,,,
275,Lorenzo Cain,MIL,NL, OF,Batter,34,I wrote last year that únow is the time to sell.ù Hope you did; because his down season across the board has plummeted his trade value. He was banged up all season with a variety of injuries; so holding on for a bounceback isnt a bad option.,,84,13,52,0.281,0.349,0.412,22,,,,,,,,,,,,,,,,,,,
276,Adam Eaton,WAS,NL, OF,Batter,31.4,Sprint speed returned to pre-injury levels and raised launch angle 5 degrees to a career high 13.2; leading to a classicAdam Eatonseason of .280; 15/15. It couldnt be any moreAdam Eatonif he tried.,,92,17,63,0.28,0.262,0.438,14,,,,,,,,,,,,,,,,,,,
277,Hunter Bishop,SF,NL, OF,Batter,21.9,Drafted 10th overall; Bishop has one of the best power/speed combos in the draft; but has racked up strikeouts in every league he has played in.,2022,,,,,,,,,,,,,,82,28,78,0.247,0.332,0.471,14,,,,,,
278,Grayson Rodriguez,BAL,AL, RHP,Pitcher,20.4,Impressedin his full season debut with a pitching line of 2.68/0.99/129/36 in 94 IP. The scouting report backs up the production with mid 90s heat; 3 potentially plus secondaries; and plus control/command.,2022,,,,,,,,,,,,,,,,,,,,,14,3.69,1.2,196,0,180
279,David Price,LAD,NL, LHP,Pitcher,34.7,Cyst in left wrist limited him to 107.1 IP and could be responsible for some of the struggles leading up to being shut down. The cyst was removed in September; and he should be 100% by Spring; but the skills are in a clear decline.,,,,,,,,,12,3.73,1.26,169,0,165,,,,,,,,,,,,,
280,Nico Hoerner,CHC,NL, SS,Batter,22.11,Plus contact/speed profile who has to learn how to fully tap into his moderate raw power. Suffered a hairline fracture in his wrist in May which likely further depressed his power.,,67,9,43,0.279,0.321,0.411,11,,,,,,,88,16,72,0.288,0.34,0.432,16,,,,,,
